ref,date,name,other_trades,Other Trades Parenth,Other Trades Dates,Other Trade Suffix 2,Role_primary,Relation to,RoleRelationDates,guild_memberships,opticians,seller_descriptions,Qualifier IS,Dates IS,maker_descriptions,IM Dates Parenth,Material,Qualifier IM,seller_trades,Seller_trades parenth,Seller trade dates,maker_trades,Maker_trade parentheses 1,Maker_trade Date Qual,Maker_qualifier
2751,1815-01-01T00:00:00Z,BORINI,,,,,,,,,,,,,,,,,,,,Frame,picture,,
2751,1815-01-01T00:00:00Z,BORINI,,,,,,,,,,,,,,,,,,,,Looking glass,,,
2751,1815-01-01T00:00:00Z,BORINI,,,,,,,,,,,,,,,,,,,,Looking glass,,,
2752,1809-01-01T00:00:00Z,BOUCHER,,,,,,,,,,,,,Mathematical,,,,,,,,,,
2753,1821-01-01T00:00:00Z,BOURNE & PAINTER,,,,,,,,,,,,,,,,,,,,Scale,,,
2754,1829-01-01T00:00:00Z,BOURNE & SMITH,,,,,,,,,,,,,,,,,,,,Scale,,,
2755,1811-01-01T00:00:00Z,BOURNE & WRIGHT,,,,,,,,,,,,,,,,,,,,Scale,,,
2756,1824-01-01T00:00:00Z,BOWEN,,,,,,,,,,,,,,,,,,,,Glass,Engravers' and Weavers',,
2756,1824-01-01T00:00:00Z,BOWEN,,,,,,,,,,,,,,,,,,,,Glass,Engravers' and Weavers',,
2756,1824-01-01T00:00:00Z,BOWEN,,,,,,,,,,,,,,,,,,,,Glass,Engravers' and Weavers',,
2756,1824-01-01T00:00:00Z,BOWEN,,,,,,,,,,,,,,,,,,,,Glass,Engravers' and Weavers',,
2756,1824-01-01T00:00:00Z,BOWEN,,,,,,,,,,,,,Philosophical,,,,,,,,,,
2756,1824-01-01T00:00:00Z,BOWEN,,,,,,,,,,,,,Mathematical,,,,,,,,,,
2756,1824-01-01T00:00:00Z,BOWEN,,,,,,,,,Optician,,,,,,,,,,,,,,
2756,1824-01-01T00:00:00Z,BOWEN,,,,,Machinist,,,,,,,,,,,,,,,,,,
2757,1820-01-01T00:00:00Z,BOWIE,,,,,,,,,,,,,Mathematical,,,,,,,,,,
2759,1826-01-01T00:00:00Z,BRADBERRY & CO.,,,,,,,,,,,,,,,,,,,,Spectacle,,,
2760,1823-01-01T00:00:00Z,BRADFORD & CO.,,,,,,,,,,,,,Optical,,,,,,,,,,
2760,1823-01-01T00:00:00Z,BRADFORD & CO.,,,,,,,,,,,,,Mathematical,,,,,,,,,,
2760,1823-01-01T00:00:00Z,BRADFORD & CO.,,,,,,,,,Optician,,,,,,,,,,,,,,
2761,1828-01-01T00:00:00Z,BRADLEY,,,,,,,,,,,,,,,,,,,,Watch,,,
2761,1828-01-01T00:00:00Z,BRADLEY,,,,,,,,,,,,,,,,,,,,Watch,,,
2761,1828-01-01T00:00:00Z,BRADLEY,,,,,,,,,,,,,,,,,,,,Clock,,,
2761,1828-01-01T00:00:00Z,BRADLEY,,,,,,,,,,,,,,,,,,,,Clock,,,
2761,1828-01-01T00:00:00Z,BRADLEY,,,,,,,,,,,,,,,,,,,,Chronometer,,,
2761,1828-01-01T00:00:00Z,BRADLEY,,,,,,,,,,,,,,,,,,,,Chronometer,,,
2761,1828-01-01T00:00:00Z,BRADLEY,,,,,Jeweller,,,,,,,,,,,,,,,,,,
2761,1828-01-01T00:00:00Z,BRADLEY,,,,,Exporter,watches,,,,,,,,,,,,,,,,,
2762,1829-01-01T00:00:00Z,BRADLEY,,,,,,,,,,,,,,,,,,,,Rule,,,
2763,1828-01-01T00:00:00Z,BRAHAM,,,,,,,,,,,,,Nautical,,,,,,,,,,
2763,1828-01-01T00:00:00Z,BRAHAM,,,,,,,,,,,,,Philosophical,,,,,,,,,,
2763,1828-01-01T00:00:00Z,BRAHAM,,,,,,,,,,,,,Mathematical,,,,,,,,,,
2763,1828-01-01T00:00:00Z,BRAHAM,,,,,,,,,Optician,,,,,,,,,,,,,,
2764,1825-01-01T00:00:00Z,BREGAZZI,,,,,,,,,,,,,,,,,,,,Barometer,,,
2764,1825-01-01T00:00:00Z,BREGAZZI,,,,,,,,,,,,,,,,,,,,Barometer,,,
2764,1825-01-01T00:00:00Z,BREGAZZI,,,,,Framer ,picture,,,,,,,,,,,,,,,,,
2764,1825-01-01T00:00:00Z,BREGAZZI,,,,,Polisher ,glass,,,,,,,,,,,,,,,,,
2765,1809-01-01T00:00:00Z,BREGAZZI,,,,,,,,,,,,,,,,,,,,Barometer,,,
2765,1809-01-01T00:00:00Z,BREGAZZI,,,,,,,,,,,,,,,,,,,,Barometer,,,
2766,1809-01-01T00:00:00Z,BREGAZZI & CO.,,,,,,,,,,,,,,,,,,,,Barometer,,,
2767,1847-01-01T00:00:00Z,BROWNING,,,,,,,,,Optician,,,,,,,,,,,,,,
2767,1847-01-01T00:00:00Z,BROWNING,,,,,,,,Grocers,,,,,,,,,,,,,,,
2768,1832-01-01T00:00:00Z,BUCKLEY,,,,,,,,,,,,,Philosophical,,,,,,,,,,
2768,1832-01-01T00:00:00Z,BUCKLEY,,,,,,,,,,,,,Mathematical,,,,,,,,,,
2768,1832-01-01T00:00:00Z,BUCKLEY,,,,,,,,,Optician,,,,,,,,,,,,,,
2769,1826-01-01T00:00:00Z,BURTON,,,,,,,,,,,,,Philosophical,,,,,,,,,,
2769,1826-01-01T00:00:00Z,BURTON,,,,,,,,,,,,,Mathematical,,,,,,,,,,
2769,1826-01-01T00:00:00Z,BURTON,,,,,,,,,Optician,,,,,,,,,,,,,,
2769,1826-01-01T00:00:00Z,BURTON,,,,,,,,Girdlers,,,,,,,,,,,,,,,
2770,1828-01-01T00:00:00Z,BUTLER,,,,,,,,,,,,,,,,,,,,Rule,,,
2770,1828-01-01T00:00:00Z,BUTLER,,,,,,,,,,,,,,,,,,,,Rule,,,
2770,1828-01-01T00:00:00Z,BUTLER,,,,,Cutter ,saw (circular),,,,,,,,,,,,,,,,,
2770,1828-01-01T00:00:00Z,BUTLER,,,,,Manufacturer,rule (box & ivory),,,,,,,,,,,,,,,,,
2771,1816-01-01T00:00:00Z,BUTLER & POWELL,,,,,,,,,,,,,,,,,,,,Square,Carpenters',,
2771,1816-01-01T00:00:00Z,BUTLER & POWELL,,,,,,,,,,,,,,,,,,,,Rule,,,
2772,1815-01-01T00:00:00Z,BYARD,,,,,,,,,,,,,,,,,,,,Spectacle,,,
2772,1815-01-01T00:00:00Z,BYARD,,,,,,,,,,,,,,,,,,,,Spectacle,,,
2772,1815-01-01T00:00:00Z,BYARD,,,,,,,,,Optician,,,,,,,,,,,,,,
2772,1815-01-01T00:00:00Z,BYARD,,,,,,,,Blacksmiths,,,,,,,,,,,,,,,
2773,1813-01-01T00:00:00Z,BYWATER,,,,,,,,,Optician,,,,,,,,,,,,,,
2773,1813-01-01T00:00:00Z,BYWATER,,,,,Stationer ,,,,,,,,,,,,,,,,,,
2774,1820-01-01T00:00:00Z,BYWATER & CO.,,,,,,,,,,,,,,,,,Map,,,,,,
2774,1820-01-01T00:00:00Z,BYWATER & CO.,,,,,,,,,,,,,,,,,Chart,,,,,,
2774,1820-01-01T00:00:00Z,BYWATER & CO.,,,,,,,,,,,,,Mathematical,,,,,,,,,,
2774,1820-01-01T00:00:00Z,BYWATER & CO.,,,,,,,,,Optician,,,,,,,,,,,,,,
2774,1820-01-01T00:00:00Z,BYWATER & CO.,,,,,Stationer ,,,,,,,,,,,,,,,,,,
2775,1831-01-01T00:00:00Z,"BYWATER, DAWSON & CO.",,,,,,,,,,,,,,,,,Map,,,,,,
2775,1831-01-01T00:00:00Z,"BYWATER, DAWSON & CO.",,,,,,,,,,,,,Optical,,,,,,,,,,
2775,1831-01-01T00:00:00Z,"BYWATER, DAWSON & CO.",,,,,,,,,,,,,Nautical,,,,,,,,,,
2775,1831-01-01T00:00:00Z,"BYWATER, DAWSON & CO.",,,,,,,,,,,,,Mathematical,,,,,,,,,,
2775,1831-01-01T00:00:00Z,"BYWATER, DAWSON & CO.",,,,,Stationer,,,,,,,,,,,,,,,,,,
2776,1854-01-01T00:00:00Z,BROWNING,,,,,,,,,,,,,Surveying,,,,,,,,,,
2776,1854-01-01T00:00:00Z,BROWNING,,,,,,,,,,,,,Mathematical,,,,,,,,,,
2776,1854-01-01T00:00:00Z,BROWNING,,,,,,,,,,,,,Optical,,,,,,,,,,
2776,1854-01-01T00:00:00Z,BROWNING,,,,,,,,,,,,,Nautical,,,,,,,,,,
2776,1854-01-01T00:00:00Z,BROWNING,,,,,,,,Grocers,,,,,,,,,,,,,,,
2777,1836-01-01T00:00:00Z,LITTLEWORT,,,,,,,,,,,,,Philosophical,,,,,,,,,,
2777,1836-01-01T00:00:00Z,LITTLEWORT,,,,,,,,,,,,,Mathematical,,,,,,,,,,
2777,1836-01-01T00:00:00Z,LITTLEWORT,,,,,,,,,Optician,,,,,,,,,,,,,,
2778,1782-01-01T00:00:00Z,GLOVER,,,,,,,,,,,,,Mathematical,,,,,,,,,,
2778,1782-01-01T00:00:00Z,GLOVER,,,,,,,,Masons,,,,,,,,,,,,,,,
2779,1839-01-01T00:00:00Z,LETTI,,,,,,,,,,,,,,,,,,,,Barometer,,,
2780,1752-01-01T00:00:00Z,SAUNDERS,,,,,,,,,,,,,Mathematical,,,,,,,,,,
2780,1752-01-01T00:00:00Z,SAUNDERS,,,,,,,,Masons,,,,,,,,,,,,,,,
2781,1836-01-01T00:00:00Z,SKILTON,,,,,,,,,,,,,Philosophical,,,,,,,,,,
2781,1836-01-01T00:00:00Z,SKILTON,,,,,,,,,,,,,Mathematical,,,,,,,,,,
2781,1836-01-01T00:00:00Z,SKILTON,,,,,,,,Masons,,,,,,,,,,,,,,,
2782,1839-01-01T00:00:00Z,COLE,,,,,,,,,,,,,Nautical,,,,,,,,,,
2782,1839-01-01T00:00:00Z,COLE,,,,,,,,,,,,,Philosophical,,,,,,,,,,
2782,1839-01-01T00:00:00Z,COLE,,,,,,,,,,,,,Mathematical,,,,,,,,,,
2782,1839-01-01T00:00:00Z,COLE,,,,,,,,Masons,,,,,,,,,,,,,,,
2783,1765-01-01T00:00:00Z,PALMER,,,,,,,,Goldsmiths,,,,,,,,,,,,,,,
2783,1765-01-01T00:00:00Z,PALMER,,,,,Engraver,,,,,,,,,,,,,,,,,,
2784,1790-01-01T00:00:00Z,PENHALLOW,,,,,,,,,,,,,Mathematical,,,,,,,,,,
2784,1790-01-01T00:00:00Z,PENHALLOW,,,,,,,,Merchant Taylors,,,,,,,,,,,,,,,
2785,1721-01-01T00:00:00Z,BALDOCK,,,,,,,,,,,,,Mathematical,,,,,,,,,,
2785,1721-01-01T00:00:00Z,BALDOCK,,,,,,,,Broderers,,,,,,,,,,,,,,,
2786,1737-01-01T00:00:00Z,BURGESS,,,,,,,,,,,,,Mathematical,,,,,,,,,,
2786,1737-01-01T00:00:00Z,BURGESS,,,,,,,,Broderers,,,,,,,,,,,,,,,
2787,1727-01-01T00:00:00Z,HOWARD,,,,,,,,Broderers,,,,,,,,,,,,,,,
2788,1782-01-01T00:00:00Z,HENNINGS,,,,,,,,,Optician,,,,,,,,,,,,,,
2789,1727-01-01T00:00:00Z,HIGGINBOTHAM,,,,,,,,,,,,,Mathematical,,,,,,,,,,
2789,1727-01-01T00:00:00Z,HIGGINBOTHAM,,,,,,,,Stationers,,,,,,,,,,,,,,,
2790,1880-01-01T00:00:00Z,BROWN,,,,,,,,,Optician,,,,,,,,,,,,,,
2792,1749-01-01T00:00:00Z,LAW,,,,,,,,,,,,,Mathematical,,,,,,,,,,
2793,1822-01-01T00:00:00Z,BAKER,,,,,,,,,,,,,,,,,,,,Watch,,,
2793,1822-01-01T00:00:00Z,BAKER,,,,,,,,,,,,,,,,,,,,Chronometer,,,
2794,1701-01-01T00:00:00Z,ROBERTS,,,,,,,,,,,,,,,,,,,,Scale,,,
2794,1701-01-01T00:00:00Z,ROBERTS,,,,,,,,Blacksmiths,,,,,,,,,,,,,,,
2795,1675-01-01T00:00:00Z,HUCKWELL,,,,,,,,Weavers,,,,,,,,,,,,,,,
2796,1766-01-01T00:00:00Z,ALLEN,,,,,,,,Merchant Taylors,,,,,,,,,,,,,,,
2797,1799-01-01T00:00:00Z,ELLIOTT,,,,,,,,,,,,,,,,,,,,Octant,,,
2797,1799-01-01T00:00:00Z,ELLIOTT,,,,,,,,,,,,,Mathematical,,,,,,,,,,
2797,1799-01-01T00:00:00Z,ELLIOTT,,,,,,,,Joiners,,,,,,,,,,,,,,,
2798,1764-01-01T00:00:00Z,RUSSELL,,,,,,,,Joiners,,,,,,,,,,,,,,,
2799,1823-01-01T00:00:00Z,HAMER,,,,,,,,,,,,,Mathematical,,,,,,,,,,
2799,1823-01-01T00:00:00Z,HAMER,,,,,,,,Joiners,,,,,,,,,,,,,,,
2800,1812-01-01T00:00:00Z,CALLOW,,,,,,,,,,,,,,,,,,,,Dog collar,,,
2800,1812-01-01T00:00:00Z,CALLOW,,,,,,,,,,,,,,,,,,,,Compass,,,
2800,1812-01-01T00:00:00Z,CALLOW,,,,,,,,,,,,,Mathematical,,,,,,,,,,
2801,1818-01-01T00:00:00Z,CALLOW,,,,,,,,,,,,,,,,,,,,Dog collar,,,
2801,1818-01-01T00:00:00Z,CALLOW,,,,,,,,,,,,,,,,,,,,Compass,,,
2801,1818-01-01T00:00:00Z,CALLOW,,,,,,,,,,,,,Mathematical,,,,,,,,,,
2802,1814-01-01T00:00:00Z,CAM,,,,,,,,,,,,,,,,,,,,Scythe,,,
2802,1814-01-01T00:00:00Z,CAM,,,,,,,,,,,,,,,,,,,,Scythe,,,
2802,1814-01-01T00:00:00Z,CAM,,,,,,,,,Optician,,,,,,,,,,,,,,
2803,1818-01-01T00:00:00Z,CAMERON,,,,,,,,,,,,,,,,,,,,Watch,,,
2803,1818-01-01T00:00:00Z,CAMERON,,,,,,,,,,,,,,,,,,,,Clock,,,
2803,1818-01-01T00:00:00Z,CAMERON,,,,,,,,,,,,,,,,,,,,Chronometer,,,
2803,1818-01-01T00:00:00Z,CAMERON,,,,,,,,,,,,,Nautical,,,,,,,,,,
2803,1818-01-01T00:00:00Z,CAMERON,,,,,Jeweller,,,,,,,,,,,,,,,,,,
2804,1810-01-01T00:00:00Z,CAPO,,,,,,,,,,,,,,,,,,,,Mirror,,,
2804,1810-01-01T00:00:00Z,CAPO,,,,,,,,,,,,,,,,,,,,Barometer,,,
2805,1828-01-01T00:00:00Z,CAPRAINI,,,,,,,,,,,,,,,,,,,,Thermometer,,,
2805,1828-01-01T00:00:00Z,CAPRAINI,,,,,,,,,,,,,,,,,,,,Barometer,,,
2806,1808-01-01T00:00:00Z,\,,,,,,,,,Optician,,,,,,,,,,,,,,
2807,1810-01-01T00:00:00Z,CARTLICH,,,,,,,,,,,,,Mathematical,,,,,,,,,,
2808,1821-01-01T00:00:00Z,CASARTELLI,,,,,,,,,,,,,,,,,,,,Thermometer,,,
2808,1821-01-01T00:00:00Z,CASARTELLI,,,,,,,,,,,,,,,,,,,,Thermometer,,,
2808,1821-01-01T00:00:00Z,CASARTELLI,,,,,,,,,,,,,,,,,,,,Barometer,,,
2808,1821-01-01T00:00:00Z,CASARTELLI,,,,,,,,,,,,,,,,,,,,Barometer,,,
2808,1821-01-01T00:00:00Z,CASARTELLI,,,,,,,,,Optician,,,,,,,,,,,,,,
2811,1821-01-01T00:00:00Z,CHADBURN,,,,,,,,,Optician,,,,,,,,,,,,,,
2812,1845-01-01T00:00:00Z,CHADBURN,,,,,,,,,,,,,Philosophical,,,,,,,,,,
2812,1845-01-01T00:00:00Z,CHADBURN,,,,,,,,,,,,,Mathematical,,,,,,,,,,
2812,1845-01-01T00:00:00Z,CHADBURN,,,,,,,,,Optician,,,,,,,,,,,,,,
2812,1845-01-01T00:00:00Z,CHADBURN,,,,,Manufacturer,chronometer,from 1873,,,,,,,,,,,,,,,,
2813,1816-01-01T00:00:00Z,CHADBURN,,,,,,,,,Optician,,,,,,,,,,,,,,
2814,1830-01-01T00:00:00Z,CHADBURN & CO.,,,,,,,,,,,,,Mathematical,,,,,,,,,,
2815,1818-01-01T00:00:00Z,CHADBURN & WRIGHT,,,,,,,,,Optician,,,,,,,,,,,,,,
2816,1837-01-01T00:00:00Z,CHADBURN BROS,,,,,,,,,,,,,,,,,Cutlery,,,,,,
2816,1837-01-01T00:00:00Z,CHADBURN BROS,,,,,,,,,,,,,,,,,Material ,Opticians,,,,,
2816,1837-01-01T00:00:00Z,CHADBURN BROS,,,,,,,,,,,,,Electrical,,,,,,,,,,
2816,1837-01-01T00:00:00Z,CHADBURN BROS,,,,,,,,,,,,,Nautical,,,,,,,,,,
2816,1837-01-01T00:00:00Z,CHADBURN BROS,,,,,,,,,,,,,Photographic,,,,,,,,,,
2816,1837-01-01T00:00:00Z,CHADBURN BROS,,,,,,,,,,,,,Philosophical,,,,,,,,,,
2816,1837-01-01T00:00:00Z,CHADBURN BROS,,,,,,,,,,,,,Mathematical,,,,,,,,,,
2816,1837-01-01T00:00:00Z,CHADBURN BROS,,,,,,,,,,,,,Optical,,,,,,,,,,
2816,1837-01-01T00:00:00Z,CHADBURN BROS,,,,,,,,,Optician,,,,,,,,,,,,,,
2816,1837-01-01T00:00:00Z,CHADBURN BROS,,,,,Manufacturer,metallic steam & pressure gauge (patent),,,,,,,,,,,,,,,,,
2817,1827-01-01T00:00:00Z,CHADWICK,,,,,,,,,Optician,,,,,,,,,,,,,,
2818,1899-01-01T00:00:00Z,CHANCELLOR & SON,,,,,,,,,Optician,,,,,,,,,,,,,,
2818,1899-01-01T00:00:00Z,CHANCELLOR & SON,,,,,Jeweller,,,,,,,,,,,,,,,,,,
2819,1827-01-01T00:00:00Z,CHICKIE,,,,,,,,,,,,,,,,,,,,Barometer,,,
2820,1817-01-01T00:00:00Z,CHIESA,,,,,,,,,,,,,,,,,,,,Barometer,,,
2820,1817-01-01T00:00:00Z,CHIESA,,,,,,,,,,,,,,,,,,,,Barometer,,,
2820,1817-01-01T00:00:00Z,CHIESA,,,,,,,,,,,,,,,,,Glass ,,,,,,
2821,1825-01-01T00:00:00Z,CHRISTIAN,,,,,,,,,,,,,Optical,,,,,,,,,,
2821,1825-01-01T00:00:00Z,CHRISTIAN,,,,,,,,,,,,,Nautical,,,,,,,,,,
2821,1825-01-01T00:00:00Z,CHRISTIAN,,,,,,,,,,,,,Mathematical,,,,,,,,,,
2821,1825-01-01T00:00:00Z,CHRISTIAN,,,,,,,,,Optician,,,,,,,,,,,,,,
2822,1817-01-01T00:00:00Z,CLARK,,,,,,,,,Optician,,,,,,,,,,,,,,
2823,1829-01-01T00:00:00Z,CLARK & CO.,,,,,,,,,,,,,,,,,,,,Toy,steel,,
2823,1829-01-01T00:00:00Z,CLARK & CO.,,,,,,,,,,,,,,,,,,,,Ornament,,,
2823,1829-01-01T00:00:00Z,CLARK & CO.,,,,,,,,,,,,,,,,,,,,Spectacle,,,
2824,1810-01-01T00:00:00Z,CLARKE,,,,,,,,,,,,,Mathematical,,,,,,,,,,
2824,1810-01-01T00:00:00Z,CLARKE,,,,,,,,,Optician,,,,,,,,,,,,,,
2825,1834-01-01T00:00:00Z,CLARKE,,,,,,,,,,,,,Philosophical,,,,,,,,,,
2825,1834-01-01T00:00:00Z,CLARKE,,,,,,,,,,,,,Mathematical,,,,,,,,,,
2825,1834-01-01T00:00:00Z,CLARKE,,,,,,,,,Optician,,,,,,,,,,,,,,
2825,1834-01-01T00:00:00Z,CLARKE,,,,,Engineer,,,,,,,,,,,,,,,,,,
2826,1831-01-01T00:00:00Z,CLARKE,,,,,,,,,,,,,Philosophical,,,,,,,,,,
2826,1831-01-01T00:00:00Z,CLARKE,,,,,,,,,,,,,Mathematical,,,,,,,,,,
2826,1831-01-01T00:00:00Z,CLARKE,,,,,Engraver,,,,,,,,,,,,,,,,,,
2827,1823-01-01T00:00:00Z,CLARKE & CO.,,,,,,,,,,,,,Philosophical,,,,,,,,,,
2827,1823-01-01T00:00:00Z,CLARKE & CO.,,,,,,,,,,,,,Mathematical,,,,,,,,,,
2827,1823-01-01T00:00:00Z,CLARKE & CO.,,,,,,,,,Optician,,,,,,,,,,,,,,
2828,1825-01-01T00:00:00Z,CLITHEROE,,,,,,,,,,,,,,,,,,,,Chronometer,,,
2829,1822-01-01T00:00:00Z,COIGLEY,,,,,,,,,,,,,,,,,,,,Watch,,,
2829,1822-01-01T00:00:00Z,COIGLEY,,,,,,,,,,,,,,,,,,,,Clock,,,
2829,1822-01-01T00:00:00Z,COIGLEY,,,,,,,,,,,,,,,,,,,,Chronometer,,,
2830,1814-01-01T00:00:00Z,COLLAR,,,,,,,,,Optician,,,,,,,,,,,,,,
2831,1817-01-01T00:00:00Z,COLLINGS,,,,,,,,,,,,,,,,,,,,Spectacle,,,
2831,1817-01-01T00:00:00Z,COLLINGS,,,,,,,,,,,,,,,,,,,,Spectacle,,,
2831,1817-01-01T00:00:00Z,COLLINGS,,,,,,,,,,,,,,,,,,,,Spectacle,,,
2831,1817-01-01T00:00:00Z,COLLINGS,,,,,,,,,,,,,,,,,,,,Spectacle,,,
2831,1817-01-01T00:00:00Z,COLLINGS,,,,,,,,,,,,,Philosophical,,,,,,,,,,
2831,1817-01-01T00:00:00Z,COLLINGS,,,,,,,,,,,,,Mathematical,,,,,,,,,,
2831,1817-01-01T00:00:00Z,COLLINGS,,,,,,,,,Optician,,,,,,,,,,,,,,
2833,1817-01-01T00:00:00Z,COMOLI & CO.,,,,,,,,,,,,,,,,,,,,Barometer,,,
2833,1817-01-01T00:00:00Z,COMOLI & CO.,,,,,,,,,,,,,,,,,Hardware,,,,,,
2834,1837-01-01T00:00:00Z,COOKE,,,,,,,,,Optician,,,,,,,,,,,,,,
2834,1837-01-01T00:00:00Z,COOKE,,,,,Teacher ,,,,,,,,,,,,,,,,,,
2835,1889-01-01T00:00:00Z,COOMBES,,,,,,,,,,,,,,,,,,,,Instrument,,,
2835,1889-01-01T00:00:00Z,COOMBES,,,,,,,,,,,,,,,,,,,,Instrument,,,
2835,1889-01-01T00:00:00Z,COOMBES,,,,,,,,,Optician,,,,,,,,,,,,,,
2836,1808-01-01T00:00:00Z,COX,,,,,,,,,,,,,,,,,,,,Rule,,,
2837,1816-01-01T00:00:00Z,COX,,,,,,,,,Optician,,,,,,,,,,,,,,
2838,1845-01-01T00:00:00Z,COX,,,,,,,,,Optician,,,,,,,,,,,,,,
2839,1828-01-01T00:00:00Z,COX,,,,,,,,,,,,,,,,,,,,Rule,Ivory & Box,,
2840,1812-01-01T00:00:00Z,COX,,,,,,,,,,,,,,,,,,,,Tape,measuring,,
2840,1812-01-01T00:00:00Z,COX,,,,,,,,,,,,,,,,,,,,Rule,Ivory & Box,,
2841,1809-01-01T00:00:00Z,COX,,,,,,,,,,,,,,,,,,,,Compass,,,
2841,1809-01-01T00:00:00Z,COX,,,,,,,,,,,,,,,,,,,,Compass,,,
2841,1809-01-01T00:00:00Z,COX,,,,,,,,,,,,,,,,,,,,Compass,,,
2841,1809-01-01T00:00:00Z,COX,,,,,,,,,,,,,,,,,,,,Compass,,,
2841,1809-01-01T00:00:00Z,COX,,,,,,,,,,,,,,,,,Chronometer,,,,,,
2841,1809-01-01T00:00:00Z,COX,,,,,,,,,,,,,Philosophical,,,,,,,,,,
2841,1809-01-01T00:00:00Z,COX,,,,,,,,,,,,,Mathematical,,,,,,,,,,
2841,1809-01-01T00:00:00Z,COX,,,,,,,,,Optician,,,,,,,,,,,,,,
2842,1821-01-01T00:00:00Z,CRANAGE,,,,,,,,,,,,,,,,,,,,Watch,,,
2842,1821-01-01T00:00:00Z,CRANAGE,,,,,,,,,,,,,,,,,,,,Chronometer,,,
2844,1810-01-01T00:00:00Z,CRITCHLEY,,,,,,,,,Optician,,,,,,,,,,,,,,
2845,1816-01-01T00:00:00Z,CRITCHLEY & MATHER,,,,,,,,,,,,,Mathematical,,,,,,,,,,
2845,1816-01-01T00:00:00Z,CRITCHLEY & MATHER,,,,,,,,,Optician,,,,,,,,,,,,,,
2846,1823-01-01T00:00:00Z,CROCE,,,,,,,,,,,,,,,,,,,,Thermometer,,,
2846,1823-01-01T00:00:00Z,CROCE,,,,,,,,,,,,,,,,,,,,Artificial flower,,,
2846,1823-01-01T00:00:00Z,CROCE,,,,,,,,,,,,,,,,,,,,Barometer,,,
2847,1816-01-01T00:00:00Z,CURMOLI,,,,,,,,,,,,,,,,,,,,Barometer,,,
2848,1727-01-01T00:00:00Z,WARE,,,,,,,,Joiners,,,,,,,,,,,,,,,
2850,1709-01-01T00:00:00Z,SLEIGH,,,,,,,,,,,,,,,,,,,,Scale,,,
2850,1709-01-01T00:00:00Z,SLEIGH,,,,,,,,Blacksmiths,,,,,,,,,,,,,,,
2851,1826-01-01T00:00:00Z,WILSON,,,,,,,,,,,,,Mathematical,,,,,,,,,,
2852,1819-01-01T00:00:00Z,WOOD,,,,,,,,,,,,,Mathematical,,,,,,,,,,
2853,1836-01-01T00:00:00Z,WHITEHOUSE,,,,,,,,,,,,,,,,,,,,Spectacle,,,
2853,1836-01-01T00:00:00Z,WHITEHOUSE,,,,,,,,,,,,,,,,,,,,Spectacle,,,
2853,1836-01-01T00:00:00Z,WHITEHOUSE,,,,,,,,,Optician,,,,,,,,,,,,,,
2854,1789-01-01T00:00:00Z,TOMLINSON,,,,,,,,,Optician,,,,,,,,,,,,,,
2855,1817-01-01T00:00:00Z,THOMPSON,,,,,,,,,,,,,Mathematical,,,,,,,,,,
2856,1826-01-01T00:00:00Z,TAGLIABUE,,,,,,,,,,,,,,,,,,,,Thermometer,,,
2856,1826-01-01T00:00:00Z,TAGLIABUE,,,,,,,,,,,,,,,,,,,,Barometer,,,
2858,1828-01-01T00:00:00Z,SMITH,,,,,,,,,,,,,Mathematical,,,,,,,,,,
2858,1828-01-01T00:00:00Z,SMITH,,,,,,,,,,,,,Philosophical,,,,,,,,,,
2858,1828-01-01T00:00:00Z,SMITH,,,,,,,,,,,,,Optical,,,,,,,,,,
2858,1828-01-01T00:00:00Z,SMITH,,,,,,,,,Optician,,,,,,,,,,,,,,
2858,1828-01-01T00:00:00Z,SMITH,,,,,,,,Clockmakers,,,,,,,,,,,,,,,
2859,1818-01-01T00:00:00Z,BASSINGHAM,,,,,,,,,,,,,,,,,,,,Apparatus,gas \ Gas Furniture ,1827,
2859,1818-01-01T00:00:00Z,BASSINGHAM,,,,,,,,,,,,,,,,,,,,Scale,,1818,
2859,1818-01-01T00:00:00Z,BASSINGHAM,,,,,,,,Drapers,,,,,,,,,,,,,,,
2860,1823-01-01T00:00:00Z,SMITH,,,,,,,,,,,,,,,,,,,,Quadrant,,,
2860,1823-01-01T00:00:00Z,SMITH,,,,,,,,,,,,,,,,,,,,Quadrant,,,
2860,1823-01-01T00:00:00Z,SMITH,,,,,,,,,,,,,,,,,,,,Quadrant,,,
2860,1823-01-01T00:00:00Z,SMITH,,,,,,,,,,,,,,,,,,,,Quadrant,,,
2860,1823-01-01T00:00:00Z,SMITH,,,,,,,,,,,,,,,,,,,,Compass,,,
2860,1823-01-01T00:00:00Z,SMITH,,,,,,,,,,,,,,,,,,,,Compass,,,
2860,1823-01-01T00:00:00Z,SMITH,,,,,,,,,,,,,,,,,,,,Compass,,,
2860,1823-01-01T00:00:00Z,SMITH,,,,,,,,,,,,,,,,,,,,Compass,,,
2860,1823-01-01T00:00:00Z,SMITH,,,,,,,,,,,,,Philosophical,,,,,,,,,,
2860,1823-01-01T00:00:00Z,SMITH,,,,,,,,,,,,,Mathematical,,,,,,,,,,
2860,1823-01-01T00:00:00Z,SMITH,,,,,,,,,Optician,,,,,,,,,,,,,,
2861,1817-01-01T00:00:00Z,SMITH,,,,,,,,,,,,,Optical,,,,,,,,,,
2861,1817-01-01T00:00:00Z,SMITH,,,,,,,,,,,,,Mathematical,,,,,,,,,,
