ref,date,name,other_trades,Other Trades Parenth,Other Trades Dates,Other Trade Suffix 2,Role_primary,Relation to,RoleRelationDates,guild_memberships,opticians,seller_descriptions,Qualifier IS,Dates IS,maker_descriptions,IM Dates Parenth,Material,Qualifier IM,seller_trades,Seller_trades parenth,Seller trade dates,maker_trades,Maker_trade parentheses 1,Maker_trade Date Qual,Maker_qualifier
2895,1824-01-01T00:00:00Z,FOSTER & CO.,,,,,,,,,,,,,Nautical,,,,,,,,,,
2895,1824-01-01T00:00:00Z,FOSTER & CO.,,,,,Printer,,,,,,,,,,,,,,,,,,
2895,1824-01-01T00:00:00Z,FOSTER & CO.,,,,,Stationer ,,,,,,,,,,,,,,,,,,
2896,1825-01-01T00:00:00Z,FOWLER,,,,,,,,,,,,,,,,,,,,Rule,,,
2896,1825-01-01T00:00:00Z,FOWLER,,,,,,,,,,,,,Gauging,,,,,,,,,,
2897,1819-01-01T00:00:00Z,FRANKS,,,,,,,,,,,,,,,,,Clothes,,,,,,
2897,1819-01-01T00:00:00Z,FRANKS,,,,,,,,,Optician,,,,,,,,,,,,,,
2898,1818-01-01T00:00:00Z,FROGGATT,,,,,,,,,,,,,,,,,Consumables ,Beer,,,,,
2898,1818-01-01T00:00:00Z,FROGGATT,,,,,,,,,Optician,,,,,,,,,,,,,,
2898,1818-01-01T00:00:00Z,FROGGATT,,,,,Grinder ,glass,,,,,,,,,,,,,,,,,
2898,1818-01-01T00:00:00Z,FROGGATT,,,,,Manufacturer,instruments (optical),,,,,,,,,,,,,,,,,
2899,1823-01-01T00:00:00Z,GALLETTI,,,,,,,,,Optician,,,,,,,,,,,,,,
2900,1820-01-01T00:00:00Z,GARDNER,,,,,,,,,,,,,Mathematical,,,,,,,,,,
2901,1819-01-01T00:00:00Z,"GARDNER, JAMIESON & CO.",,,,,,,,,,,,,Optical,,,,,,,,,,
2901,1819-01-01T00:00:00Z,"GARDNER, JAMIESON & CO.",,,,,,,,,,,,,Mathematical,,,,,,,,,,
2902,1822-01-01T00:00:00Z,GARDNER & CO.,,,,,,,,,,,,,Mathematical,,,,,,,,,,
2902,1822-01-01T00:00:00Z,GARDNER & CO.,,,,,,,,,,,,,Philosophical,,,,,,,,,,
2902,1822-01-01T00:00:00Z,GARDNER & CO.,,,,,,,,,,,,,Optical,,,,,,,,,,
2903,1826-01-01T00:00:00Z,GATTY,,,,,,,,,,,,,,,,,,,,Barometer,,,
2904,1824-01-01T00:00:00Z,GERRARD,,,,,,,,,Optician,,,,,,,,,,,,,,
2905,1811-01-01T00:00:00Z,GIBBONS,,,,,,,,,,,,,,,,,,,,Rule,Ivory & Box,,
2906,1818-01-01T00:00:00Z,GODFREY,,,,,,,,,,,,,,,,,,,,Spectacle,,,
2906,1818-01-01T00:00:00Z,GODFREY,,,,,,,,,,,,,,,,,,,,Spectacle,,,
2906,1818-01-01T00:00:00Z,GODFREY,,,,,,,,,Optician,,,,,,,,,,,,,,
2906,1818-01-01T00:00:00Z,GODFREY,,,,,Smith ,silver,,,,,,,,,,,,,,,,,
2907,1811-01-01T00:00:00Z,GRAY & LESSELS,,,,,,,,,,,,,Mathematical,,,,,,,,,,
2908,1829-01-01T00:00:00Z,GREAVES,,,,,,,,,,,,,,,,,,,,Spectacle,,,
2909,1815-01-01T00:00:00Z,GREEN,,,,,,,,,,,,,,,,,,,,Spectacle,,,
2909,1815-01-01T00:00:00Z,GREEN,,,,,Grinder ,glass,,,,,,,,,,,,,,,,,
2910,1818-01-01T00:00:00Z,GUEST,,,,,,,,,,,,,,,,,,,,Rule,,,
2911,1828-01-01T00:00:00Z,GUGGIARI,,,,,,,,,,,,,,,,,,,,Thermometer,,,
2911,1828-01-01T00:00:00Z,GUGGIARI,,,,,,,,,,,,,,,,,,,,Barometer,,,
2911,1828-01-01T00:00:00Z,GUGGIARI,,,,,,,,,,,,,,,,,,,,Frame,picture,,
2913,1780-01-01T00:00:00Z,KITCHINGMAN,,,,,,,,,,,,,Mathematical,,,,,,,,,,
2913,1780-01-01T00:00:00Z,KITCHINGMAN,,,,,,,,Turners,,,,,,,,,,,,,,,
2914,1826-01-01T00:00:00Z,SMITH,,,,,,,,,Optician,,,,,,,,,,,,,,
2914,1826-01-01T00:00:00Z,SMITH,,,,,,,,Turners,,,,,,,,,,,,,,,
2914,1826-01-01T00:00:00Z,SMITH,,,,,Turner ,optical,,,,,,,,,,,,,,,,,
2915,1746-01-01T00:00:00Z,STROUD,,,,,,,,,,,,,,,,,,,,Hourglass,,,
2915,1746-01-01T00:00:00Z,STROUD,,,,,,,,Turners,,,,,,,,,,,,,,,
2916,1750-01-01T00:00:00Z,DENNIS,,,,,,,,,,,,,,,,,,,,Hourglass,,,
2916,1750-01-01T00:00:00Z,DENNIS,,,,,,,,Turners,,,,,,,,,,,,,,,
2917,1760-01-01T00:00:00Z,JONES,,,,,,,,,,,,,,,,,,,,Hourglass,,,
2917,1760-01-01T00:00:00Z,JONES,,,,,,,,Turners,,,,,,,,,,,,,,,
2918,1811-01-01T00:00:00Z,MOUNTFORD,,,,,,,,,Optician,,,,,,,,,,,,,,
2919,1811-01-01T00:00:00Z,HALL,,,,,,,,,,,,,,,,,,,,Spectacle,,,
2919,1811-01-01T00:00:00Z,HALL,,,,,,,,Turners,,,,,,,,,,,,,,,
2920,1811-01-01T00:00:00Z,KIMBER,,,,,,,,,,,,,,,,,,,,Spectacle,,,
2920,1811-01-01T00:00:00Z,KIMBER,,,,,,,,,,,,,,,,,,,,Spectacle,,,
2920,1811-01-01T00:00:00Z,KIMBER,,,,,,,,,Optician,,,,,,,,,,,,,,
2920,1811-01-01T00:00:00Z,KIMBER,,,,,,,,Blacksmiths,,,,,,,,,,,,,,,
2921,1790-01-01T00:00:00Z,BRYANT,,,,,,,,,,,,,,,,,,,,Hourglass,,,
2921,1790-01-01T00:00:00Z,BRYANT,,,,,,,,Blacksmiths,,,,,,,,,,,,,,,
2922,1779-01-01T00:00:00Z,DADLEY,,,,,,,,,Optician,,,,,,,,,,,,,,
2923,1759-01-01T00:00:00Z,EMBLEM,,,,,,,,Turners,,,,,,,,,,,,,,,
2924,1722-01-01T00:00:00Z,SAUNDERSON,,,,,,,,,,,,,,,,,,,,Hourglass,,,
2924,1722-01-01T00:00:00Z,SAUNDERSON,,,,,,,,Turners,,,,,,,,,,,,,,,
