source,relationship,target
1740,APPRENTICED_TO,1000
10451,SEE_ALSO,10422
10422,SEE_ALSO,10451
8932,APPRENTICED_TO,2536
8932,WORKED_FOR,749
102,SAME_PREMISES_AS,104
104,SAME_PREMISES_AS,102
6107,TOOK_OVER_FROM,4640
6107,SEE_ALSO,6106
3393,HAD_APPRENTICE,869
24,APPRENTICED_TO,641
3393,APPRENTICED_TO,5483
24,HAD_APPRENTICE,1052
6108,SUCCEEDED__BY,10367
6111,WORKED_FOR,2890
24,HAD_APPRENTICE,4751
24,HAD_APPRENTICE,1094
10367,TOOK_OVER_FROM,6108
10076,SUCCEEDED__BY,8919
8338,SEE_ALSO,3405
8339,SEE_ALSO,3405
10517,SEE_ALSO,10565
3588,SEE_ALSO,3587
1978,APPRENTICED_TO,165
4244,SAME_PREMISES_AS,6534
4244,TOOK_OVER_FROM,4687
4046,HAD_APPRENTICE,5641
4046,APPRENTICED_TO,1978
5729,SEE_ALSO,2783
5729,SEE_ALSO,1060
4046,CHILD_OF,1978
8463,SAME_PREMISES_AS,4290
4644,SAME_PREMISES_AS,2793
1060,SEE_ALSO,5729
5729,CHILD_OF,1978
5641,APPRENTICED_TO,4046
5641,CHILD_OF,4046
2793,SAME_PREMISES_AS,4644
1978,HAD_APPRENTICE,4046
1142,SUCCEEDED__BY,3075
1142,SEE_ALSO,2657
6117,SEE_ALSO,1142
6117,SEE_ALSO,2657
2657,SEE_ALSO,1142
1744,SUCCEEDED__BY,5728
1744,TOOK_OVER_FROM,1736
1743,SEE_ALSO,2587
1743,SEE_ALSO,1744
2785,APPRENTICED_TO,2694
1076,HAD_APPRENTICE,397
6118,SEE_ALSO,1076
6122,SEE_ALSO,6121
6121,SEE_ALSO,6122
6123,ASSOCIATED_WITH,8908
6124,ASSOCIATED_WITH,1765
5372,APPRENTICED_TO,5371
5372,HAD_APPRENTICE,663
4386,SEE_ALSO,972
4417,HAD_APPRENTICE,4233
2738,SIBLING_OF,779
779,SIBLING_OF,2738
779,WORKED_FOR,2738
779,SUCCEEDED__BY,560
779,TOOK_OVER_FROM,2738
560,TOOK_OVER_FROM,779
9296,TOOK_OVER_FROM,6805
2791,ASSOCIATED_WITH,408
1986,SEE_ALSO,1987
