id,other_trades,other_trades_parenth,role_primary,relation_to,guild_memberships,seller_descriptions,maker_descriptions,material,qualifier_im,seller_trades,seller_trades_parenth,maker_trades,maker_trade_parentheses_1,maker_qualifier
160,,,,,Weavers,,,,,,,,,
162,,,,,,,Mathematical,"silver, brass, ivory, wood",,,,,,
162,,,,,Clockmakers,,,,,,,,,
164,,,,,,,Mathematical,,,,,,,
164,,,,,,,Philosophical,,,,,,,
164,,,,,,,Optical,,,,,,,
165,,,,,,,Mathematical,,,,,,,
165,,,,,,,Philosophical,,,,,,,
165,,,,,,,Optical,,,,,,,
165,,,,,Merchant Taylors,,,,,,,,,
166,,,,,,,Mathematical,,,,,,,
166,,,,,,,Philosophical,,,,,,,
166,,,,,,,Optical,,,,,,,
166,,,,,Merchant Taylors,,,,,,,,,
167,,,,,,,Optical,,,,,,,
167,,,,,,,Mathematical,,,,,,,
167,,,,,,,,,,,,,,
167,,,,,Turners,,,,,,,,,
168,,,,,,,Mathematical,,,,,,,
168,,,,,Grocers,,,,,,,,,
169,,,,,,,,,,,,Clock,,
170,,,,,,,Mathematical,,,,,,,
170,,,,,Broderers,,,,,,,,,
170,,,,,Clockmakers,,,,,,,,,
171,,,,,,,Mathematical,,,,,,,
171,,,,,Clockmakers,,,,,,,,,
172,,,,,,,,,,,,Spectacle,,
172,,,,,,,,,,,,Spectacle,,
172,,,,,Broderers,,,,,,,,,
172,,,,,Spectaclemakers,,,,,,,,,
173,,,,,,,Mathematical,,,,,,,
173,,,,,Clockmakers,,,,,,,,,
173,,,,,Grocers,,,,,,,,,
174,,,,,,,,,,,,Map,,
174,,,,,,,,,,,,Map,,
174,,,,,,,,,,,,Globe,,
174,,,,,,,,,,,,Globe,,
174,,,,,Merchant Taylors,,,,,,,,,
174,,,Surveyor,,,,,,,,,,,
174,,,Publisher,,,,,,,,,,,
175,,,,,,,Mathematical,,,,,,,
175,,,,,Clockmakers,,,,,,,,,
175,,,,,Weavers,,,,,,,,,
176,,,,,,,Mathematical,,,,,,,
