id,street,lat,lon
232,"Two Golden Prospects, Ludgate St,",51.5140241154312,-0.103211402893066
232,"Gun, Ludgate St,",51.5140241154312,-0.103211402893066
232,"Archimedes & Spectacles in Ludgate St, opposite the West End",51.5140241154312,-0.103211402893066
232,"Old Archimedes & Spectacles in Ludgate St, being the second",51.5140241154312,-0.103211402893066
234,"Charing Cross,",51.5074503294806,-0.128606557846069
235,"St Paul's Churchyard,",51.5133430765259,-0.0998318195343018
236,"Under the dial of St.Dunstan's Church, Fleet St,",51.5139362040847,-0.110281705856323
236,"Under St Dunstan's Church, Fleet St,",51.5139362040847,-0.110281705856323
236,"Fleet St,",51.5139362040847,-0.110281705856323
237,"3 Crane Court, Fleet St,",51.5139362040847,-0.110281705856323
239,"69 Fleet St,",51.5139362040847,-0.110281705856323
240,"69 Fleet St,",51.5139362040847,-0.110281705856323
241,"Earl St, Blackfriars,",51.4942097357956,-0.129121541976929
241,"69 Fleet St,",51.5139362040847,-0.110281705856323
252,"Bishopsgate St,",51.5138571950728,-0.083996057510376
252,"Bishopsgate,",51.5138571950728,-0.083996057510376
253,"Threadneedle St, by the Royal Exchange,",51.5137370120361,-0.0878691673278809
254,"128 Chancery Lane,",51.5167281400212,-0.112695693969727
254,"97 Chancery Lane,",51.5167281400212,-0.112695693969727
254,"66 Chancery Lane,",51.5167281400212,-0.112695693969727
264,"Charing Cross,",51.5074503294806,-0.128606557846069
270,"Near the Hermitage Bridge, Wapping,",51.5036805748567,-0.0621521472930908
271,"Hercules & Globe, next the Fountain Tavern in the Strand,",51.5101847924382,-0.115699768066406
271,"Hercules & Globe near Beaufort Buildings in the Strand,",51.5101847924382,-0.115699768066406
271,"Hercules & Globe near Exeter Exchange in the Strand,",51.5101847924382,-0.115699768066406
271,"Strand,",51.5101847924382,-0.115699768066406
272,"Fleet St,",51.5139362040847,-0.110281705856323
273,"The Archimedes, Fleet St,",51.5139362040847,-0.110281705856323
273,"Ludgate St,",51.5140241154312,-0.103211402893066
273,"Archimedes & Two Pairs of Golden Spectacles, near Castle Tavern, Fleet St,",51.5139362040847,-0.110281705856323
276,"Threadneedle St,",51.5137370120361,-0.0878691673278809
276,"Old Jewry, near the Excise Office,",51.5141509744944,-0.0909590721130371
276,"Old Jewry,",51.5141509744944,-0.0909590721130371
279,"King's Arms & Globe at Charing Cross,",51.5074503294806,-0.128606557846069
280,"Archimedes & Globe, Ludgate St,",51.5140241154312,-0.103211402893066
281,"Archimedes & Globe in Ludgate St, the Corner of St.Paul's,",51.5140241154312,-0.103211402893066
282,"Archimedes & Golden Prospects, Ludgate St,",51.5140241154312,-0.103211402893066
282,"The Archimedes, Ludgate St,",51.5140241154312,-0.103211402893066
284,"At ye Atlas & Hercules in Cheapside,",51.5143167810001,-0.0955349206924438
284,"Compass & Hour Glass, Hermitage Stairs, Wapping,",51.5036805748567,-0.0621521472930908
285,"At the Hermitage in Wapping,",51.5036805748567,-0.0621521472930908
286,"[Residence?] Johnson's Court, Fleet St,",51.5139362040847,-0.110281705856323
286,"Behind the Exchange, Threadneedle St,",51.5137370120361,-0.0878691673278809
286,"The Globe under St.Dunstan's Church in Fleet St,",51.5139362040847,-0.110281705856323
287,"Mariner & Compass in the Minories,",51.5123148220247,-0.0757026672363281
289,"Wine Office Court, Fleet St,",51.5139362040847,-0.110281705856323
289,"Hind Court, Fleet St,",51.5139362040847,-0.110281705856323
291,"Earl St, near the Seven Dials, two doors from the Royal Oak",51.4942097357956,-0.129121541976929
293,"Orrery and Globe in Fleet St,",51.5139362040847,-0.110281705856323
293,"Orrery & Globe near Salisbury Court, Fleet St,",51.5139362040847,-0.110281705856323
293,"Orrery & Globe near Water Lane, Fleet St,",51.5139362040847,-0.110281705856323
293,"Orrery, near Water Lane, Fleet St,",51.5139362040847,-0.110281705856323
293,"The Orrery against Water-Lane, in Fleet St,",51.5139362040847,-0.110281705856323
295,"The Globe over against St.Dunstan's Church, Fleet St,",51.5139362040847,-0.110281705856323
295,"Over against St.Dunstan's Church in Fleet St,",51.5139362040847,-0.110281705856323
295,"Fleet St,",51.5139362040847,-0.110281705856323
295,"The Globe in Salisbury Court, Fleet St,",51.5139362040847,-0.110281705856323
295,"[With Price] Whites Alley, Coleman St,",51.5380142220614,-0.0944781303405762
295,"Against St Clement's Church in the Strand,",51.5101847924382,-0.115699768066406
295,"The Globe & Star against St.Dunstan's Church, Fleet St,",51.5139362040847,-0.110281705856323
302,"Hermitage Bridge, Wapping,",51.5036805748567,-0.0621521472930908
305,"Preston Yard, Minories,",51.5123148220247,-0.0757026672363281
309,"162 Fenchurch St,",51.5115469544999,-0.0832772254943848
309,"136 Fenchurch St,",51.5115469544999,-0.0832772254943848
309,"8 Little Charlotte St, Blackfriars Rd,",51.5011594400383,-0.104740262031555
309,"(Residence)Hornsey Rd,Islington",51.5529799394674,-0.112041234970093
312,The Strand,51.5101847924382,-0.115699768066406
312,Corner of Beaufort-Buildings in the Strand,51.5101847924382,-0.115699768066406
312,"The Sphere, Corner of Beaufort Bldgs, Strand,",51.5101847924382,-0.115699768066406
315,"Exeter Change, Strand",51.5101847924382,-0.115699768066406
315,"The Mariner & Globe, Exeter Exchange, Strand,",51.5101847924382,-0.115699768066406
316,"Two doors from Crane Court, Fleet St,",51.5139362040847,-0.110281705856323
316,"Hadleys Quadrant & Visual Glasses nr Crane Court, Fleet St,",51.5139362040847,-0.110281705856323
316,"Resident in Fleet St,",51.5139362040847,-0.110281705856323
316,"Four doors East of Crane Court, Fleet St (later no. 171),",51.5139362040847,-0.110281705856323
316,"The New Invented Visual Glasses, Fleet St,",51.5139362040847,-0.110281705856323
316,"171 Fleet St,",51.5139362040847,-0.110281705856323
318,"6 Poultry in the City,",51.5135890084332,-0.0911521911621094
323,"Charing Cross, East,",51.5074503294806,-0.128606557846069
325,"20 Crown Court, Golden Square,",51.5117205604639,-0.137865543365479
325,"20 Crown Court, Princes St, Soho,",51.5144781357114,-0.0897681713104248
325,"20 Crown Court, Wardour St,",51.5116471118676,-0.132501125335693
329,"The Astronomico-Musical Clock, nr.Leg of Mutton, Fleet St,",51.5139362040847,-0.110281705856323
331,"Near the White Hart Gate in High Holborn,",51.5175693593777,-0.120205879211426
331,"Smart's Buildings, Cole Yard, High Holborn, nr. Drury Lane,",51.5149755497943,-0.12285053730011
331,"Next door White Hart Inn in High Holborn,",51.5175693593777,-0.120205879211426
331,"Against the Distillers, High Holborn, nr. Drury Lane,",51.5149755497943,-0.12285053730011
332,"Strand,",51.5101847924382,-0.115699768066406
334,"The Golden Spectacles in Cranbourne St, near Leicester",51.51106619607,-0.129475593566895
334,"The Golden Spectacles, Charing Cross,",51.5074503294806,-0.128606557846069
337,"Edward St, Limehouse Fields,",51.5248392506882,-0.16203761100769
339,"Ferguson's Head, 3 New Bond St,",51.512949137609,-0.145268440246582
339,"3 New Bond St,",51.512949137609,-0.145268440246582
340,"3 New Bond St,",51.512949137609,-0.145268440246582
341,"The Globe, East Smithfield near the Hermitage, Wapping,",51.5062516547869,-0.071636438369751
341,"The Globe near ye Hermitage Bridge in Wapping,",51.5036805748567,-0.0621521472930908
342,"8 King St, Tower Hill,",51.5092165642489,-0.078202486038208
342,"64 Upper East Smithfield, Tower Hill,",51.5092165642489,-0.078202486038208
343,"The Sphere, Sergeant's Inn, Chancery Lane,",51.5167281400212,-0.112695693969727
343,"Dogwell Court, White Friars, Fleet St,",51.5139362040847,-0.110281705856323
345,"Minories,",51.5123148220247,-0.0757026672363281
345,"St.Catherine's, Tower Hill,",51.5092165642489,-0.078202486038208
345,"174 Fenchurch St,",51.5115469544999,-0.0832772254943848
346,"Friar Bacon's Head, corner of St.Michael's Alley, Cornhill,",51.5132963381884,-0.0868821144104004
347,"Hercules & Globe, Exeter Exchange, Strand,",51.5101847924382,-0.115699768066406
347,"Near Exeter Exchange in the Strand,",51.5101847924382,-0.115699768066406
347,"Near the Savoy Gate in the Strand,",51.5101847924382,-0.115699768066406
347,"Hercules & Globe next door to Fountain Tavern, Strand,",51.5101847924382,-0.115699768066406
349,"Cross St, Hatton Gerden,",51.5394155903731,-0.101763010025024
349,"Hatton Garden,",51.5208561971813,-0.108768939971924
349,"Great Kirby St, Hatton Garden,",51.5208561971813,-0.108768939971924
352,"Long Acre,",51.5124149777041,-0.125656127929688
352,"Cock & Garter, Long Acre,",51.5124149777041,-0.125656127929688
353,"The Quadrant, without Newgate, facing the Old Bailey,",51.5150590080009,-0.102406740188599
356,2 Fountain Court in the Strand,51.5101847924382,-0.115699768066406
356,Fountain Court in the Strand,51.5101847924382,-0.115699768066406
356,"Near the Exeter Exchange in the Strand,",51.5101847924382,-0.115699768066406
357,Strand,51.5101847924382,-0.115699768066406
358,"Smithfield,",51.5084686773553,-0.0725376605987549
359,"Carey St,",51.5146650839233,-0.114476680755615
359,"Archimedes & Three Spectacles, 27 Ludgate St, nr. St.Paul's,",51.5140241154312,-0.103211402893066
360,Globe & Sun between St.Dunstan's Church Chancery Lane in Fleet St,51.5139362040847,-0.110281705856323
377,"The Quadrant & Globe, Little Tower Hill,",51.5071064232539,-0.0740396976470947
377,"Near the White Hart Alehouse in Mansell St,",51.5132896612792,-0.0735676288604736
377,"Next door to the Sun & Bell in the Minories,",51.5123148220247,-0.0757026672363281
377,"In the Minories,",51.5123148220247,-0.0757026672363281
377,"The Corner of the Minories,",51.5123148220247,-0.0757026672363281
377,"King St, Tower Hill,",51.5092165642489,-0.078202486038208
377,"3 King St, Tower Hill,",51.5092165642489,-0.078202486038208
378,"Dorset St, Salisbury Sq,",51.5461282134466,-0.0864529609680176
380,"The Globe, Leadenhall St,",51.5134165223878,-0.0826013088226318
382,"Threadneedle St,",51.5137370120361,-0.0878691673278809
382,"Under St.Dunstan's Church in Fleet St,",51.5139362040847,-0.110281705856323
385,"Globe & Quadrant, 146 Fenchurch St,",51.5115469544999,-0.0832772254943848
385,"14 Finchurch St,",51.5115469544999,-0.0832772254943848
