source,target,relationship
3274,1740,APPRENTICED_TO
3274,1727,APPRENTICED_TO
3274,3305,HAD_APPRENTICE
6058,6061,TOOK_OVER_FROM
7046,3426,APPRENTICED_TO
7046,9948,PARTNERSHIP
3859,3858,SEE_ALSO
3537,3554,SEE_ALSO
6064,6061,SEE_ALSO
6064,6060,SEE_ALSO
5117,3426,SAME_PREMISES_AS
1218,122,APPRENTICED_TO
1218,236,HAD_APPRENTICE
1218,159,ASSOCIATED_WITH
1218,1224,PARENT_OF
122,126,ASSOCIATED_WITH
122,236,HAD_APPRENTICE
122,2732,SPOUSE_OF
122,168,HAD_APPRENTICE
122,17,SEE_ALSO
122,1218,HAD_APPRENTICE
236,2505,ASSOCIATED_WITH
236,307,HAD_APPRENTICE
236,186,HAD_APPRENTICE
159,122,APPRENTICED_TO
159,1287,ASSOCIATED_WITH
159,1263,ASSOCIATED_WITH
1224,1218,CHILD_OF
243,8486,TOOK_OVER_FROM
2512,2504,APPRENTICED_TO
2504,2512,HAD_APPRENTICE
2504,2503,SPOUSE_OF
2504,648,HAD_APPRENTICE
2504,1301,HAD_APPRENTICE
2504,858,HAD_APPRENTICE
8950,749,WORKED_FOR
749,600,EMPLOYED_BY
749,751,SPOUSE_OF
749,589,HAD_APPRENTICE
749,8953,HAD_APPRENTICE
749,385,HAD_APPRENTICE
749,4299,HAD_APPRENTICE
749,750,PARENT_OF
749,783,SEE_ALSO
749,2509,TOOK_OVER_FROM
749,8937,EMPLOYED_BY
749,1886,EMPLOYED_BY
4638,4639,SAME_PREMISES_AS
4639,4638,SAME_PREMISES_AS
6066,10476,SEE_ALSO
6067,4625,SEE_ALSO
1753,1752,TOOK_OVER_FROM
3562,3562,CHILD_OF
3562,421,APPRENTICED_TO
421,1295,PARENT_OF
421,1296,SUCCEEDED__BY
421,421,PARENT_OF
421,3562,HAD_APPRENTICE
421,182,APPRENTICED_TO
421,1306,ASSOCIATED_WITH
6069,430,WORKED_FOR
4628,9132,SAME_PREMISES_AS
9132,2977,TOOK_OVER_FROM
9132,9980,PARENT_OF
9132,4628,PARTNERSHIP
9492,4628,TOOK_OVER_FROM
2716,555,SUCCEEDED__BY
555,6077,SUCCEEDED__BY
555,2716,TOOK_OVER_FROM
6072,6077,PARTNERSHIP
6077,6072,SUCCEEDED__BY
6077,555,TOOK_OVER_FROM
1797,1796,SEE_ALSO
1796,1797,SEE_ALSO
1309,5366,HAD_APPRENTICE
1309,5363,APPRENTICED_TO
5366,1309,APPRENTICED_TO
9044,3757,SPOUSE_OF
9044,8061,SUCCEEDED__BY
3757,768,ASSOCIATED_WITH
3757,9044,SPOUSE_OF
2530,2525,APPRENTICED_TO
2530,1613,HAD_APPRENTICE
2525,2523,PARENT_OF
2525,2502,APPRENTICED_TO
2525,2524,SIBLING_OF
2525,2522,SIBLING_OF
2525,2530,HAD_APPRENTICE
2525,2521,ASSOCIATED_WITH
8061,3610,TOOK_OVER_FROM
1613,2530,APPRENTICED_TO
5363,1309,HAD_APPRENTICE
6073,6074,SUCCEEDED__BY
6074,6073,TOOK_OVER_FROM
1125,727,APPRENTICED_TO
727,1125,HAD_APPRENTICE
727,728,APPRENTICED_TO
727,3227,HAD_APPRENTICE
6078,6076,SIBLING_OF
6078,9824,SEE_ALSO
6079,6076,SEE_ALSO
557,556,CHILD_OF
557,5714,EMPLOYED_BY
557,558,TOOK_OVER_FROM
556,558,PARTNERSHIP
556,557,HAD_APPRENTICE
556,5714,HAD_APPRENTICE
1981,1982,PARTNERSHIP
1981,2645,SEE_ALSO
1982,2645,SUCCEEDED__BY
558,557,SUCCEEDED__BY
558,556,TOOK_OVER_FROM
5714,556,WORKED_FOR
5714,557,WORKED_FOR
10333,3328,ASSOCIATED_WITH
3328,9985,SUCCEEDED__BY
3328,4114,SIBLING_OF
3328,4968,NEPHEW_NIECE_OF
3328,557,TOOK_OVER_FROM
3328,786,CHILD_OF
3328,9153,SIBLING_OF
3328,9159,SIBLING_OF
